Currency	Date	Value
Israeli New Shekel	April 01, 2019	3.626000
Israeli New Shekel	April 01, 2020	3.556000
Israeli New Shekel	April 01, 2021	3.333000
Israeli New Shekel	April 01, 2022	3.203000
Israeli New Shekel	April 02, 2019	3.624000
Israeli New Shekel	April 02, 2020	3.630000
Israeli New Shekel	April 02, 2021	NA
Israeli New Shekel	April 03, 2019	3.600000
Israeli New Shekel	April 03, 2020	3.636000
Israeli New Shekel	April 03, 2023	3.593000
Israeli New Shekel	April 04, 2019	3.603000
Israeli New Shekel	April 04, 2022	3.209000
Israeli New Shekel	April 04, 2023	3.564000
Israeli New Shekel	April 05, 2019	3.587000
Israeli New Shekel	April 05, 2021	3.320000
Israeli New Shekel	April 05, 2022	3.205000
Israeli New Shekel	April 05, 2023	NA
Israeli New Shekel	April 06, 2020	3.627000
Israeli New Shekel	April 06, 2021	3.309000
Israeli New Shekel	April 06, 2022	3.225000
Israeli New Shekel	April 06, 2023	NA
Israeli New Shekel	April 07, 2020	3.604000
Israeli New Shekel	April 07, 2021	3.299000
Israeli New Shekel	April 07, 2022	3.228000
Israeli New Shekel	April 07, 2023	NA
Israeli New Shekel	April 08, 2019	3.580000
Israeli New Shekel	April 08, 2020	NA
Israeli New Shekel	April 08, 2021	3.286000
Israeli New Shekel	April 08, 2022	3.225000
Israeli New Shekel	April 09, 2019	NA
Israeli New Shekel	April 09, 2020	NA
Israeli New Shekel	April 09, 2021	3.284000
Israeli New Shekel	April 10, 2019	3.578000
Israeli New Shekel	April 10, 2020	NA
Israeli New Shekel	April 10, 2023	NA
Israeli New Shekel	April 11, 2019	3.583000
Israeli New Shekel	April 11, 2022	3.211000
Israeli New Shekel	April 11, 2023	3.624000
Israeli New Shekel	April 12, 2019	3.578000
Israeli New Shekel	April 12, 2021	3.291000
Israeli New Shekel	April 12, 2022	3.215000
Israeli New Shekel	April 12, 2023	NA
Israeli New Shekel	April 13, 2020	NA
Israeli New Shekel	April 13, 2021	3.304000
Israeli New Shekel	April 13, 2022	3.207000
Israeli New Shekel	April 13, 2023	3.655000
Israeli New Shekel	April 14, 2020	3.579000
Israeli New Shekel	April 14, 2021	3.287000
Israeli New Shekel	April 14, 2022	3.199000
Israeli New Shekel	April 14, 2023	3.661000
Israeli New Shekel	April 15, 2019	3.561000
Israeli New Shekel	April 15, 2020	NA
Israeli New Shekel	April 15, 2021	NA
Israeli New Shekel	April 15, 2022	NA
Israeli New Shekel	April 16, 2019	3.558000
Israeli New Shekel	April 16, 2020	3.594000
Israeli New Shekel	April 16, 2021	3.281000
Israeli New Shekel	April 17, 2019	3.575000
Israeli New Shekel	April 17, 2020	3.591000
Israeli New Shekel	April 17, 2023	3.647000
Israeli New Shekel	April 18, 2019	3.589000
Israeli New Shekel	April 18, 2022	NA
Israeli New Shekel	April 18, 2023	3.647000
Israeli New Shekel	April 19, 2019	NA
Israeli New Shekel	April 19, 2021	3.265000
Israeli New Shekel	April 19, 2022	3.236000
Israeli New Shekel	April 19, 2023	3.659000
Israeli New Shekel	April 20, 2020	3.580000
Israeli New Shekel	April 20, 2021	3.252000
Israeli New Shekel	April 20, 2022	3.235000
Israeli New Shekel	April 20, 2023	3.654000
Israeli New Shekel	April 21, 2020	3.552000
Israeli New Shekel	April 21, 2021	3.256000
Israeli New Shekel	April 21, 2022	3.217000
Israeli New Shekel	April 21, 2023	3.656000
Israeli New Shekel	April 22, 2019	NA
Israeli New Shekel	April 22, 2020	3.541000
Israeli New Shekel	April 22, 2021	3.262000
Israeli New Shekel	April 22, 2022	NA
Israeli New Shekel	April 23, 2019	3.593000
Israeli New Shekel	April 23, 2020	3.557000
Israeli New Shekel	April 23, 2021	3.255000
Israeli New Shekel	April 24, 2019	3.614000
Israeli New Shekel	April 24, 2020	3.524000
Israeli New Shekel	April 24, 2023	3.661000
Israeli New Shekel	April 25, 2019	3.628000
Israeli New Shekel	April 25, 2022	3.291000
Israeli New Shekel	April 25, 2023	3.639000
Israeli New Shekel	April 26, 2019	NA
Israeli New Shekel	April 26, 2021	3.240000
Israeli New Shekel	April 26, 2022	3.292000
Israeli New Shekel	April 26, 2023	NA
Israeli New Shekel	April 27, 2020	3.515000
Israeli New Shekel	April 27, 2021	3.241000
Israeli New Shekel	April 27, 2022	3.325000
Israeli New Shekel	April 27, 2023	3.636000
Israeli New Shekel	April 28, 2020	3.499000
Israeli New Shekel	April 28, 2021	NA
Israeli New Shekel	April 28, 2022	3.320000
Israeli New Shekel	April 28, 2023	3.641000
Israeli New Shekel	April 29, 2019	3.618000
Israeli New Shekel	April 29, 2020	NA
Israeli New Shekel	April 29, 2021	3.246000
Israeli New Shekel	April 29, 2022	3.317000
Israeli New Shekel	April 30, 2019	3.608000
Israeli New Shekel	April 30, 2020	3.500000
Israeli New Shekel	April 30, 2021	3.247000
Israeli New Shekel	August 01, 2019	3.524000
Israeli New Shekel	August 01, 2022	3.382000
Israeli New Shekel	August 01, 2023	3.653000
Israeli New Shekel	August 02, 2019	3.509000
Israeli New Shekel	August 02, 2021	3.227000
Israeli New Shekel	August 02, 2022	3.367000
Israeli New Shekel	August 02, 2023	3.654000
Israeli New Shekel	August 03, 2020	3.415000
Israeli New Shekel	August 03, 2021	3.217000
Israeli New Shekel	August 03, 2022	3.366000
Israeli New Shekel	August 03, 2023	3.685000
Israeli New Shekel	August 04, 2020	3.424000
Israeli New Shekel	August 04, 2021	3.213000
Israeli New Shekel	August 04, 2022	3.350000
Israeli New Shekel	August 04, 2023	3.687000
Israeli New Shekel	August 05, 2019	3.494000
Israeli New Shekel	August 05, 2020	3.412000
Israeli New Shekel	August 05, 2021	3.214000
Israeli New Shekel	August 05, 2022	3.335000
Israeli New Shekel	August 06, 2019	3.494000
Israeli New Shekel	August 06, 2020	3.409000
Israeli New Shekel	August 06, 2021	3.217000
Israeli New Shekel	August 07, 2019	3.487000
Israeli New Shekel	August 07, 2020	3.409000
Israeli New Shekel	August 07, 2023	3.676000
Israeli New Shekel	August 08, 2019	3.483000
Israeli New Shekel	August 08, 2022	3.327000
Israeli New Shekel	August 08, 2023	3.700000
Israeli New Shekel	August 09, 2019	3.479000
Israeli New Shekel	August 09, 2021	3.221000
Israeli New Shekel	August 09, 2022	3.307000
Israeli New Shekel	August 09, 2023	3.716000
Israeli New Shekel	August 10, 2020	3.414000
Israeli New Shekel	August 10, 2021	3.227000
Israeli New Shekel	August 10, 2022	3.291000
Israeli New Shekel	August 10, 2023	3.718000
Israeli New Shekel	August 11, 2020	3.402000
Israeli New Shekel	August 11, 2021	3.218000
Israeli New Shekel	August 11, 2022	3.259000
Israeli New Shekel	August 11, 2023	3.723000
Israeli New Shekel	August 12, 2019	3.484000
Israeli New Shekel	August 12, 2020	3.406000
Israeli New Shekel	August 12, 2021	3.221000
Israeli New Shekel	August 12, 2022	3.241000
Israeli New Shekel	August 13, 2019	3.493000
Israeli New Shekel	August 13, 2020	3.406000
Israeli New Shekel	August 13, 2021	3.223000
Israeli New Shekel	August 14, 2019	3.489000
Israeli New Shekel	August 14, 2020	3.404000
Israeli New Shekel	August 14, 2023	3.724000
Israeli New Shekel	August 15, 2019	3.519000
Israeli New Shekel	August 15, 2022	3.265000
Israeli New Shekel	August 15, 2023	3.763000
Israeli New Shekel	August 16, 2019	3.541000
Israeli New Shekel	August 16, 2021	NA
Israeli New Shekel	August 16, 2022	3.273000
Israeli New Shekel	August 16, 2023	3.754000
Israeli New Shekel	August 17, 2020	3.409000
Israeli New Shekel	August 17, 2021	NA
Israeli New Shekel	August 17, 2022	3.259000
Israeli New Shekel	August 17, 2023	3.773000
Israeli New Shekel	August 18, 2020	3.401000
Israeli New Shekel	August 18, 2021	NA
Israeli New Shekel	August 18, 2022	3.243000
Israeli New Shekel	August 18, 2023	3.793000
Israeli New Shekel	August 19, 2019	3.545000
Israeli New Shekel	August 19, 2020	3.400000
Israeli New Shekel	August 19, 2021	3.243000
Israeli New Shekel	August 19, 2022	3.256000
Israeli New Shekel	August 20, 2019	3.524000
